modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
resnet,fashion,train,1,2025-09-05T12:58:30,codecarbon,fa60c163-d58d-44d0-b134-dbf1f6bb3b40,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.7241488660220057,0.0001181165070463,3.171637635757462e-05,42.5,114.27567491992458,188.83806037902832,4.392542707371629e-05,0.0001181131500445,0.000195113156523,0.0003571517336413,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,fashion,eval,1,2025-09-05T12:58:40,codecarbon,78058fd3-bd10-4fec-95a0-b20e2c9a2b00,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.834543574019335,0.0001541254241967,3.188003620963506e-05,42.5,115.95652023349209,188.83806037902832,5.703479631912261e-05,0.000155616791158,0.0002533811781926,0.0004660327656698,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,fashion,train,2,2025-09-05T12:58:47,codecarbon,c39a4baa-c500-4f12-a2b7-6aa8651a5ca5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.211229365086183,0.0001028558691013,3.203005995761397e-05,42.5,117.8335835710846,188.83806037902832,3.786093808238447e-05,0.0001049764728726,0.0001681703633462,0.0003110077743012,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,fashion,eval,2,2025-09-05T12:58:57,codecarbon,526a12ba-43d4-4914-a84f-2293d606f741,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.911152226035483,0.0001562457773562,3.181448470033443e-05,42.5,115.2422378059548,188.83806037902832,5.793866500979575e-05,0.0001571095701322,0.0002573958935603,0.0004724441287024,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,fashion,train,3,2025-09-05T12:59:05,codecarbon,be0fd14b-d9c2-476b-a47b-ee8751b7e66b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.3177789099281654,0.0001048044764316,3.1588746350175594e-05,42.5,112.91643276142128,188.83806037902832,3.91276616557055e-05,0.0001039603609456,0.0001738118027232,0.0003168998253245,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,fashion,eval,3,2025-09-05T12:59:12,codecarbon,012987b0-84fd-44d6-a7df-3f4b91ccd9b4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.840236357995309,9.144022819777756e-05,3.219458406705199e-05,42.5,119.57775448234705,188.83806037902832,3.349034628117806e-05,9.423201982983188e-05,0.000148767659221,0.000276490025332,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,fashion,train,4,2025-09-05T12:59:20,codecarbon,011e72c3-1501-47ce-b246-131f672002f6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.915462895995006,9.22259247670778e-05,3.1633372832070426e-05,42.5,113.46960502419486,188.83806037902832,3.43776098560031e-05,9.178812898724686e-05,0.0001527000161718,0.000278865755015,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,fashion,eval,4,2025-09-05T12:59:27,codecarbon,726fc744-b9df-4835-b2e5-7d63db523f9a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.7465578130213544,8.825543704254685e-05,3.213310734772459e-05,42.5,118.93357414468905,188.83806037902832,3.2383591513967586e-05,9.062757250433152e-05,0.0001438489314181,0.0002668600954364,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,fashion,train,5,2025-09-05T12:59:35,codecarbon,30018da2-4919-45d2-8e19-4c522f70574e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.294748500920832,0.0001041598406834,3.161389728362036e-05,42.5,113.2078330623588,188.83806037902832,3.885550635443199e-05,0.0001035042494663,0.0001725908688306,0.0003149506246514,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,fashion,eval,5,2025-09-05T12:59:44,codecarbon,45d31b58-6919-4976-a41d-8e2b833cf554,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.849724970990792,0.0001534071374617,3.163213138463652e-05,42.5,113.26296058907784,188.83806037902832,5.721294060494984e-05,0.0001524767886458,0.000254171135479,0.0004638608647298,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
