modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
resnet,tinyimagenet,train,1,2025-09-05T13:13:17,codecarbon,cefe4204-4038-4a82-9ce0-acdb004dad21,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.887024655006826,0.0004392852851892,3.1632786439309574e-05,42.5,113.1099876589844,188.83806037902832,0.0001638947964218,0.0004361953489571,0.0007281873756185,0.0013282775209975,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,eval,1,2025-09-05T13:13:24,codecarbon,e4b0839c-8c75-4085-9a27-09ffcc0b089a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.03861004090868,6.696729898335635e-05,3.284948942638716e-05,42.5,127.80157586343964,188.83806037902832,2.3966196413999167e-05,7.20728354401956e-05,0.0001064516066455,0.0002024906384997,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,train,2,2025-09-05T13:13:42,codecarbon,bd585326-7b86-4b7a-a7fa-1c6cd5b22c26,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.26086038898211,0.0004176316114245,3.149355314618658e-05,42.5,111.57865820906774,188.83806037902832,0.0001565127567493,0.0004109094953932,0.0006953805327816,0.0012628027849242,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,eval,2,2025-09-05T13:13:48,codecarbon,2d15d7df-0b96-4bed-a25a-e1f454717659,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.7699816949898377,5.790939252687096e-05,3.271750927752021e-05,42.5,125.94447775401692,188.83806037902832,2.083306886003508e-05,6.174088272459244e-05,9.252807650840328e-05,0.000175102028093,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,train,3,2025-09-05T13:14:06,codecarbon,8fba7400-90a5-48ae-94e8-9f1570c779bf,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.32642442791257,0.000419760306849,3.149834444487839e-05,42.5,111.7552168803135,188.83806037902832,0.0001572285265198,0.0004134414418643,0.0006985694042807,0.001269239372665,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,eval,3,2025-09-05T13:14:12,codecarbon,e9295641-1155-41b9-a3f6-1d6e01eaeb3c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.7655289249960333,5.76662537514562e-05,3.2662310390403694e-05,42.5,124.92093062505636,188.83806037902832,2.0805080898895132e-05,6.115699337172487e-05,9.240476923791656e-05,0.0001743668435085,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,train,4,2025-09-05T13:14:30,codecarbon,1587b91c-3956-4354-8035-c7d6adfeb6b7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.31153467600234,0.0004180905346468,3.140813924337074e-05,42.5,110.6465107003908,188.83806037902832,0.0001571107485013,0.0004090331050079,0.0006980465886403,0.0012641904421496,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,eval,4,2025-09-05T13:14:37,codecarbon,0d842cd3-e210-4155-85b8-7dc55d1a70f1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.7480244509642944,5.714227921850268e-05,3.2689633824618555e-05,42.5,125.9906002298542,188.83806037902832,2.055413960171993e-05,6.093643763449563e-05,9.129191182849416e-05,0.0001727824890647,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,train,5,2025-09-05T13:14:54,codecarbon,d950c315-6247-4ad3-866a-94dfebbd04c7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.288357715937307,0.0004170577942844,3.1385202234901573e-05,42.5,110.4087289662503,188.83806037902832,0.0001568318138005,0.0004074294926077,0.0006968064137774,0.0012610677201857,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,eval,5,2025-09-05T13:15:01,codecarbon,045a0a10-f60e-49b0-a463-01c7024cea69,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.7605719609418884,5.628257573535917e-05,3.196834720987409e-05,42.5,117.35729219444691,188.83806037902832,2.0746618537264618e-05,5.729282361244259e-05,9.214354074012392e-05,0.0001701829828898,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,train,6,2025-09-05T13:15:19,codecarbon,de3affd4-ee21-4546-9f4c-c6b309b643f3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.295480821980163,0.000416697957459,3.134132289297452e-05,42.5,109.91948241684165,188.83806037902832,0.0001569217330219,0.0004058569913496,0.000697200948519,0.0012599796728905,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,eval,6,2025-09-05T13:15:25,codecarbon,6684b2e1-8721-46e3-a417-cad2d8c7af0f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.771529317018576,5.763298051902418e-05,3.25328968396744e-05,42.5,123.49611069068584,188.83806037902832,2.0876331829721396e-05,6.066671519988631e-05,9.272318740282168e-05,0.0001742662344324,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,train,7,2025-09-05T13:15:43,codecarbon,b3075af4-09fb-44fe-91c1-ceb4de96c3ce,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.458673842949793,0.0004208852299635,3.127241471744167e-05,42.5,109.16855447649908,188.83806037902832,0.0001588477267002,0.0004080311597576,0.0007057619433835,0.0012726408298414,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,eval,7,2025-09-05T13:15:49,codecarbon,68db4d95-3f6a-4532-83ca-25b2c5a89469,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.761005242005922,5.620149596604406e-05,3.1914439903668986e-05,42.5,116.77374560695804,188.83806037902832,2.0751163699767658e-05,5.702004561669583e-05,9.216661071765638e-05,0.0001699378200341,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,train,8,2025-09-05T13:16:07,codecarbon,53d08ce2-8a85-410f-a5e6-09a080bbf900,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.273781463038176,0.0004157573377655,3.132169524737716e-05,42.5,109.70545643535658,188.83806037902832,0.0001566655769993,0.0004044056013015,0.0006960643201164,0.0012571354984172,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,eval,8,2025-09-05T13:16:13,codecarbon,3de846af-3132-4e6c-8565-4ee806852921,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.738466380047612,5.570459144176718e-05,3.204237486619763e-05,42.5,118.3216789274756,188.83806037902832,2.0477438554128943e-05,5.701504561272941e-05,9.094283366212944e-05,0.0001684353178289,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,train,9,2025-09-05T13:16:31,codecarbon,e4eae6ae-c1d6-4a21-89e2-a6d78477b627,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.271027629030868,0.0004155947324386,3.131594206988751e-05,42.5,109.642602312189,188.83806037902832,0.000156633736944,0.0004040925454944,0.0006959175423264,0.0012566438247649,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,eval,9,2025-09-05T13:16:37,codecarbon,4d18d686-7777-405b-a4f9-5b2251226c52,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.681723571033217,5.454128951709664e-05,3.243178038087887e-05,42.5,122.4455214005765,188.83806037902832,1.981576065817434e-05,5.709476790016765e-05,8.800728515937712e-05,0.0001649178137177,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,train,10,2025-09-05T13:16:55,codecarbon,f0a96e2f-f430-4d3a-ad1a-36a922e44aa5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.241972945048474,0.0004147284703359,3.131923558951473e-05,42.5,109.67968566689636,188.83806037902832,0.0001562897551778,0.0004033406004495,0.0006943941315065,0.0012540244871339,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet,tinyimagenet,eval,10,2025-09-05T13:17:02,codecarbon,4676cdbb-9a19-417e-97fd-40a0815411ab,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.6991508279461414,5.491566975644934e-05,3.2319479149963975e-05,42.5,121.22169265252272,188.83806037902832,2.0020925475788925e-05,5.7109490136042496e-05,8.891942067300744e-05,0.0001660498362848,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
